Call Num,Auth Label,URI,Altlabel1,Altlabel2,Altlabel3,Parent1,Parent2,Parent3
AC-AZ,Reference and General Works,http://knowledgeincoding.net/classif/ac000az,,,,,,
AE-AG,Encyclopedias and dictionaries,http://id.loc.gov/authorities/subjects/sh85042997,,,,http://knowledgeincoding.net/classif/ac000az,,
B-BJ,Philosophy,http://id.loc.gov/authorities/subjects/sh85100849,,,,,,
BL-BX,Religion,http://knowledgeincoding.net/classif/bl000bx,,,,,,
C-CT,Auxiliary Sciences of History,http://id.loc.gov/authorities/subjects/sh85010480,,,,,,
D-F,History,http://id.loc.gov/authorities/subjects/sh85061212,,,,,,
G-GF,Earth Sciences,http://knowledgeincoding.net/classif/g000gf,,,,,,
G-GB,Geography,http://id.loc.gov/authorities/subjects/sh85053986,,,,http://knowledgeincoding.net/classif/g000gf,,
GN-GV,"Anthropology, Culture, Recreation",http://knowledgeincoding.net/classif/gn000gv,,,,,,
H-HX,Social sciences,http://id.loc.gov/authorities/subjects/sh85124003,,,,,,
HB-HJ,"Economics, Commerce, Finance",http://knowledgeincoding.net/classif/hb000hj,,,,http://id.loc.gov/authorities/subjects/sh85124003,,
HM-HX,Society and Family,http://knowledgeincoding.net/classif/hm000hx,,,,http://id.loc.gov/authorities/subjects/sh85124003,,
J-JZ,Political Science,http://id.loc.gov/authorities/subjects/sh85104440,,,,,,
K-KZD,Law,http://id.loc.gov/authorities/subjects/sh85075119,,,,,,
L-LT,Education,http://id.loc.gov/authorities/subjects/sh85040989,,,,,,
LD-LG,Universities and Colleges,http://id.loc.gov/authorities/subjects/sh85141086,,,,http://id.loc.gov/authorities/subjects/sh85040989,,
M-MT,Music and Musicology,http://id.loc.gov/authorities/subjects/sh85088762,,,,,,
N-NX,Arts,http://id.loc.gov/authorities/subjects/sh85008324,,,,,,
P-PZ,Language and Literature,http://knowledgeincoding.net/classif/p000pz,,,,,,
Q-QR,Mathematical and Natural Sciences,http://knowledgeincoding.net/classif/q000qr,Science,,,,,
R-RZ,Medicine,http://id.loc.gov/authorities/subjects/sh85083064,,,,,,
S-SK,Agriculture and Outdoors,http://knowledgeincoding.net/classif/s000sk,,,,,,
T-TX,Technology,http://id.loc.gov/authorities/subjects/sh85133147,"Science, Applied","Arts, Useful",,,,
U-VM,Military and Naval Science,http://knowledgeincoding.net/classif/u000vm,,,,,,
U-UH,Military Science,http://id.loc.gov/authorities/subjects/sh85085132,Military art and science,,,http://knowledgeincoding.net/classif/u000vm,,
V-VM,Naval Science,http://id.loc.gov/authorities/subjects/sh85090357,Naval art and science,,,http://knowledgeincoding.net/classif/u000vm,,
Z-ZA,Library Science and Information Resources,http://knowledgeincoding.net/classif/z00za,,,,,,
KB-KBX,Religious legal systems,http://knowledgeincoding.net/classif/kb000kbz,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KD-KDK,Law of United Kingdom and Ireland,http://knowledgeincoding.net/classif/kd000kdk,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KE-KEZ,Canadian law,http://id.loc.gov/authorities/subjects/sh98001459,Law--Canada,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KF-KFZ,United States law,http://id.loc.gov/authorities/subjects/sh85075193,Law--United States,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KG-KGZ,Law of Latin America - Mexico and Central America West Indies. Caribbean Area,http://id.loc.gov/authorities/subjects/sh85075174,Law--Latin America,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KH-KHW,South American law,http://knowledgeincoding.net/classif/kh000,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KJ-KKZ,European law,http://id.loc.gov/authorities/subjects/sh85075156,Law--Europe,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KL-KLW,"Ancient Oriental law, Eurasian law",http://knowledgeincoding.net/classif/kl000,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KM-KMY,Middle Eastern law,http://knowledgeincoding.net/classif/km000,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KN-KNY,Asian law,http://id.loc.gov/authorities/subjects/sh91005264,Law--Asia,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KP-KPW,Pacific and South Asian law,http://knowledgeincoding.net/classif/kp000,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KQ-KTZ,African law,http://id.loc.gov/authorities/subjects/sh91005262,Law--Africa,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KU-KUQ,Law of Australia and New Zealand,http://knowledgeincoding.net/classif/ku000,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KV-KWX,Pacific Area law,http://knowledgeincoding.net/classif/kv000kwx,,,,http://id.loc.gov/authorities/subjects/sh85075119,,
KZ-KZD,Law of nations,http://id.loc.gov/authorities/subjects/sh85067417,International Law,,,http://id.loc.gov/authorities/subjects/sh85075119,,
